id,title,options,correct_option_ids
1,Какая страна является самой большой по площади в мире?,"a:Канада|b:Китай|c:Россия|d:США",c
2,Столицей какой страны является город Канберра?,"a:Австралия|b:Новая Зеландия|c:Канада|d:ЮАР",a
3,Какая страна имеет форму «сапога» на карте?,"a:Испания|b:Италия|c:Греция|d:Португалия",b
4,Какая страна является родиной самураев?,"a:Китай|b:Корея|c:Япония|d:Таиланд",c
5,В какой стране находится город Рио-де-Жанейро?,"a:Аргентина|b:Перу|c:Чили|d:Бразилия",d
6,Какая страна имеет наибольшее население в мире?,"a:Индия|b:Китай|c:США|d:Индонезия",a
7,Какой стране принадлежит остров Гренландия?,"a:Норвегия|b:Канада|c:Исландия|d:Дания",d
8,Столицей какой странны является город Берлин?,"a:Австрия|b:Швейцария|c:Германия|d:Польша",c
9,Какая страна НЕ входит в состав Европейского союза?,"a:Франция|b:Италия|c:Норвегия|d:Испания",c
10,В какой стране находится пирамида Хеопса?,"a:Мексика|b:Египет|c:Судан|d:Ирак",b
11,Какая страна известна как «Страна восходящего солнца»?,"a:Китай|b:Япония|c:Южная Корея|d:Вьетнам",b
12,Столицей какой страны является город Мадрид?,"a:Португалия|b:Италия|c:Испания|d:Франция",c
13,Какая страна состоит более чем из 17 000 островов?,"a:Филиппины|b:Япония|c:Индонезия|d:Малайзия",c
14,В какой стране находится Эйфелева башня?,"a:Бельгия|b:Франция|c:Швейцария|d:Италия",b
15,Какая страна граничит с Польшей и Литвой?,"a:Украина|b:Беларусь|c:Латвия|d:Словакия",b
16,Какая страна является самой маленькой в мире по площади?,"a:Монако|b:Сан-Марино|c:Ватикан|d:Лихтенштейн",c
17,Столицей какой страны является город Оттава?,"a:США|b:Канада|c:Австралия|d:Великобритания",b
18,Какая страна известна тюльпанами и ветряными мельницами?,"a:Бельгия|b:Германия|c:Нидерланды|d:Дания",c
19,В какой стране находится город Дубай?,"a:Катар|b:Саудовская Аравия|c:ОАЭ|d:Кувейт",c
20,Какая страна первой приняла евро в качестве валюты?,"a:Германия|b:Франция|c:Италия|d:Все страны еврозоны одновременно",d
